id,freq,grammar,sv,grammar2,fa,wclass,ex
1914,4735,att,gynna,,,verb,
1915,4723,,ifall,,,subj,
1916,,,oberoende,,,adjective,
1917,4716,att,leka,,,verb,
1918,4710,ett,märke,,,noun-ett,
1919,4709,,snö,,,noun-en,
1920,4709,att,upprepa,,,verb,
1921,4707,,undervisning,,,noun-en,
1922,4696,,kött,,,noun-ett,
1923,4692,att,förutsätta,,,verb,
1924,4688,en,replik,,,noun-en,
1925,4686,en,koppling,,,noun-en,
1926,4679,ett,snitt,,,noun-ett,
1927,4678,,engelska,,,noun-en,
1928,4674,,överhuvudtaget,,,adverb,
1929,4671,,sysselsättning,,,noun-en,
1930,4670,ett,besked,,,noun-ett,
1931,4665,att,lätta,,,verb,
1932,4659,,oavsett,,,adverb,
1933,4655,ett,avseende,,,noun-ett,
1934,4653,,okänd,,,adjective,
1935,4650,,katolsk,,,adjective,
1936,4647,att,ropa,,,verb,
1937,4645,att,bekämpa,,,verb,
1938,4644,,synd,,,adverb,e.g. tycka synd om
1939,4640,,genast,,,adverb,
1940,4640,en,sjö,,,noun-en,e.g. till sjöss
1941,4640,,så småningom (el. småningom),,,adverb,
1942,4639,,logisk,,,adjective,
1943,4636,,inom ramen för,,,prep,
1944,4636,,kaffe,,,noun-ett,
1945,4634,att,förstärka,,,verb,
1946,4633,en,euro,,,noun-en,
1947,4627,,mänsklighet,,,noun-en,
1948,4625,,nere,,,adverb,
1949,4621,att,betona,,,verb,
1950,4615,en,expert,,,noun-en,
1951,4607,,fildelning,,,noun-en,
1952,4604,,olja,,,noun-en,
1953,4598,att,förbereda,,,verb,e.g. förbereda sig
1954,4594,ett,förfarande,,,noun-ett,
1955,4590,,trygghet,,,noun-en,
1956,4583,en,konstnär,,,noun-en,
1957,4577,,i själva verket,,,adverb,
1958,4577,,norsk,,,adjective,
1959,4576,,i fråga (el. ifråga),,,adverb,
1960,4574,en,stjärna,,,noun-en,
1961,4570,,tyg,,,noun-ett,
1962,4561,,läsning,,,noun-en,
1963,4560,,blå,,,adjective,
1964,4560,en,fotboll,,,noun-en,
1965,4558,en,flykting,,,noun-en,
1966,4549,att,koppla,,,verb,e.g. koppla av
1967,4547,att,forma,,,verb,
1968,4545,en,bibel,,,noun-en,
1969,4544,,förresten,,,adverb,
1970,4542,att,samarbeta,,,verb,
1971,4540,att,slänga,,,verb,
1972,4538,ett,ögonblick,,,noun-ett,
1973,4532,att,neka,,,verb,
1974,4522,,extra,,,adverb,
1975,4521,en,arbetsplats,,,noun-en,
1976,4512,en,lokal,,,noun-en,
1977,4510,en,summa,,,noun-en,
1978,4502,,tillräcklig,,,adjective,
1979,4502,,äcklig,,,adjective,
1980,4496,att,tona,,,verb,
1981,4495,en,tendens,,,noun-en,
1982,4484,,på så sätt,,,adverb,
1983,4479,en,restaurang,,,noun-en,
1984,4479,att,återstå,,,verb,
1985,4476,att,vila,,,verb,
1986,4475,,extremt,,,adverb,
1987,4473,en,kamera,,,noun-en,
1988,4465,,självständig,,,adjective,
1989,4463,,socialistisk,,,adjective,
1990,4451,att,framställa,,,verb,
1991,4446,en,ända (el. ände),,,noun-en,
1992,4443,en,mångfald,,,noun-en,
1993,4443,en,strand,,,noun-en,
1994,4442,,pension,,,noun-en,
1995,4440,,hem,,,adverb,
1996,4439,en,diskriminering,,,noun-en,
1997,4439,att,misstänka,,,verb,
1998,4437,ett,utsläpp,,,noun-ett,
1999,4429,att,logga,,,verb,
2000,4428,en,medicin,,,noun-en,
2001,4419,en,sport,,,noun-en,
2002,4417,,rättvisa,,,noun-en,
2003,4415,en,eld,,,noun-en,
2004,4414,,individuell,,,adjective,
2005,4405,,därifrån,,,adverb,
2006,4405,,ifrån,,,adverb,
2007,4393,,yttre,,,adjective,
2008,4380,,arabisk,,,adjective,
2009,4379,att,erhålla,,,verb,
2010,4379,,moralisk,,,adjective,
2011,4378,,revolutionär,,,adjective,
2012,4375,en,egendom,,,noun-en,
2013,4370,ett,köp,,,noun-ett,
2014,4369,,välfärd,,,noun-en,
2015,4367,att,sticka,,,verb,e.g. sticka ut
2016,4366,att,mäta,,,verb,
2017,4363,ett,helvete,,,noun-ett,
2018,4363,,tuff,,,adjective,
2019,4362,ett,jordbruk,,,noun-ett,
2020,4361,ett,sällskap,,,noun-ett,
2021,4355,att,medverka,,,verb,
2022,4351,en,arbetstagare,,,noun-en,
2023,4350,att,fånga,,,verb,
2024,4349,att,blogga,,,verb,
2025,4347,,terrorism,,,noun-en,
2026,4346,en,fest,,,noun-en,
2027,4346,,ordentligt,,,adverb,
2028,4343,,väst,,,noun,
2029,4341,en,sajt,,,noun-en,
2030,4340,att,prova,,,verb,
2031,4336,att,prägla,,,verb,
2032,4334,,dum,,,adjective,
2033,4331,en,övning,,,noun-en,
2034,4327,,jobbig,,,adjective,
2035,4327,att,måla,,,verb,
2036,4322,,vin,,,noun-ett,
2037,4320,att,identifiera,,,verb,
2038,4314,,rasism,,,noun-en,
2039,4314,en,ståndpunkt,,,noun-en,
2040,4312,en,granne,,,noun-en,
2041,4311,,rang,,,noun-en,
2042,4308,att,resultera,,,verb,e.g. resultera i
2043,4300,en,karriär,,,noun-en,
2044,4297,en,trend,,,noun-en,
2045,4290,ett,kontor,,,noun-ett,
2046,4286,att,jaga,,,verb,
2047,4283,,yttrandefrihet,,,noun-en,
2048,4271,en,fortsättning,,,noun-en,
2049,4270,,diverse,,,adjective,
2050,4269,att,stöta,,,verb,e.g. stöta på
2051,4268,att,förneka,,,verb,
2052,4266,,väsentlig,,,adjective,
2053,4261,,manlig,,,adjective,
2054,4260,en,demonstration,,,noun-en,
2055,4252,en,färd,,,noun-en,
2056,4251,en,efterfrågan,,,noun-en,
2057,4244,en,kandidat,,,noun-en,
2058,4244,att,upprätthålla,,,verb,
2059,4238,ett,fördrag,,,noun-ett,
2060,4238,ett,instrument,,,noun-ett,
2061,4232,att,analysera,,,verb,
2062,4227,,främmande,,,adjective,
2063,4226,att,uppmuntra,,,verb,
2064,4223,ett,genomförande,,,noun-ett,
2065,4222,,konservativ,,,adjective,
2066,4217,,attityd,,,noun-en,
2067,4215,en,föreställning,,,noun-en,
2068,4213,,än,,,subj,
2069,4210,att,lyda,,,verb,
2070,4206,,juridisk,,,adjective,
2071,4206,en,variant,,,noun-en,
2072,4203,en,höjd,,,noun-en,
2073,4203,en,utrikesminister,,,noun-en,
2074,4201,en,gäst,,,noun-en,
2075,4201,en,hustru,,,noun-en,
2076,4199,en,vandring,,,noun-en,
2077,4197,att,kontakta,,,verb,
2078,4189,en,mil,,,noun-en,
2079,4184,,kort,,,adverb,
2080,4183,,eventuellt (förk. ev.),,,adverb,
2081,4176,en,lära,,,noun-en,e.g. lära sig
2082,4174,att,medge,,,verb,
2083,4173,,ologisk,,,adjective,
2084,4166,,alkohol,,,noun-en,
2085,4166,,invandring,,,noun-en,
2086,4162,en,arbetarklass,,,noun-en,
2087,4161,en,lögn,,,noun-en,
2088,4161,ett,yttrande,,,noun-ett,
2089,4160,,tillfällig,,,adjective,
2090,4158,,varav,,,adverb,
2091,4149,en,doktor (förk. dr),,,noun-en,
2092,4149,,olaglig,,,adjective,
2093,4148,att,gränsa,,,verb,e.g. gränsa till
2094,4147,en,vision,,,noun-en,
2095,4140,,framöver,,,adverb,
2096,4140,,över,,,adverb,
2097,4136,en,omgivning,,,noun-en,
